"0","8709580"
"01","8671776"
"01c4394","8712865 8678480 8690166 8711540 8709613 8713704 8677969 8678147 8675965 8673960 8693671 8694526 8695424 8677964 8712203 8672055 8680788 8710502 8692625 8678013 8689723 8696589 8691729 8690137 8673854 8689749 8711264 8713174 8686443 8677006 8690083 8696591 8677926 8693756 8673717 8710919 8713728 8672144 8713037 8678298 8672590 8690238 8678681"
"020","8677173"
"0210","8665533"
"0310","8708607"
"04c4294","8714758 8712871"
"05c3053","8710525 8710510 8711179 8716168"
"0600","8712354"
"06c2859","8709880 8713466 8709229 8712657 8712273 8712217 8713617 8712537"
"06c3745","8709709 8710423"
"0700","8708685"
"07c3069","8713749"
"07c3924","8713814 8713259"
"07c5595","8713755"
"07c5771","8712284 8707538"
"08","8681217 8640665"
"0800","8685995"
"0830am","8673854"
"08c2893","8708551 8709905"
"09","8681217"
"1","8671232 8646583 8678480 8713036 8709613 8684568 8704126 8672058 8675965 8709709 8673960 8710369 8709034 8675142 8705555 8677964 8676173 8710127 8674828 8677697 8710445 8712203 8675491 8645206 8710483 8687481 8675787 8642943 8711515 8677173 8706150 8646987 8645211 8708685 8692736 8672367 8675267 8710756 8691729 8671090 8709392 8709905 8709481 8673854 8673186 8688256 8685783 8689401 8709120 8686565 8672647 8708607 8714356 8686844 8715225 8714012 8708398 8708388 8671681 8713798 8706550 8685696 8709471 8713127 8671715 8712985 8703821 8667848 8671948 8699850 8678298 8715057 8683242 8714667 8686420 8713445 8710315 8688082 8674974"
"10","8671232 8693013 8712271 8685522 8689448 8690186 8713849 8646800 8709793 8685783 8714012 8676999 8713468 8712985 8684615 8715057 8689223 8686670 8688082"
"100","8689503 8713525 8716429"
"1000","8681217 8713170 8715225"
"10000","8671232 8671174 8692443"
"1000pm","8686989"
"1003","8665533"
"100612","8687290"
"1015","8714690"
"1030am730pm","8708607"
"1045pm","8709120"
"10am","8712967"
"10c4754","8703821"
"10c5117","8713215"
"10day","8712354"
"10hour","8672144"
"10kg","8645628 8709743"
"11","8710510 8685783 8715057 8688082"
"1100am800pm","8708607"
"1130am","8686989"
"11639890","8713755"
"11c3753","8713700"
"11c5781","8712688"
"11pm","8671174"
"11th","8689067"
"12","8710525 8678480 8713704 8708551 8703032 8712271 8713555 8709407 8689723 8520330 8715992 8715775 8685783 8713174 8689779 8667009 8709551 8673717 8712537 8706550 8709471 8671715 8715057 8710923 8686501"
"120","8689552"
"1275","8706680"
"12c","8707264"
"12pm","8671232 8709613 8712143 8686610"
"13","8715114 8709229 8714501 8667945 8713468 8689223"
"130pm","8671174"
"1312","8671715"
"13c6305","8710066 8710127 8711070 8710315"
"13c6342","8709120"
"13c6684","8713170 8713192 8708994 8709764"
"13th","8674689"
"14","8681684 8672923 8677173 8708607 8708994 8713468"
"14001","8686189 8641074"
"14c7092","8711937 8709481 8708008"
"14c7175","8714373"
"14c7215","8713306 8713525 8712181 8713359"
"15","8675294 8689723 8692672 8689223"
"150","8646800"
"1500","8712643"
"151","8672923"
"1521","8714501"
"159836","8665533"
"16","8708775 8672923"
"1600","8673960"
"16949","8641074"
"16c7883","8712524"
"1700","8673960 8670240"
"17025","8703295"
"17203","8708549"
"17c8660","8714690"
"1800","8712271 8686443 8685995"
"18008000","8676922"
"18c9027","8712271 8711166"
"18c9151","8715225"
"18s9265","8712295"
"19","8712295 8693921 8714581"
"190000","8685907"
"1973","8671776"
"1993","8675491"
"199601303w","8715429 8711891"
"19c9682","8712209 8712341"
"19c9859","8713103"
"19c9950","8713036 8712778 8713127"
"1hr","8709613"
"1pm","8712273"
"1pmalternate","8694000"
"1st","8713306 8674513 8689067"
"1year","8713796 8673188 8713103 8667848"
