"0","8692229 8703814"
"01","8709581"
"0100","8712487"
"0106b","8674776"
"01c3135","8714756"
"01c4394","8674653 8686332 8678151 8690235 8713721 8689697 8678107 8678507 8693775 8677390 8694241 8712287 8687869 8711266 8716445 8690259 8712612 8677353 8678354 8678666 8677906 8690109 8693209 8677461 8693101 8678488 8712302 8691650 8673936 8678659 8687786 8693189 8712286 8677489 8677920 8711919 8690240 8688025 8710226 8688046 8689920 8677938 8712275 8715970 8674483 8693097 8688870 8689916 8689678"
"01c4934","8709191"
"0220","8676177"
"02c4944","8714773 8713774 8714804 8713156"
"0303","8708389"
"0329","8707988 8710943 8710787 8714172"
"0411","8687795"
"049317","8714773 8713774 8714804 8713156"
"04c3537","8713310 8713437 8709654"
"04c4294","8713154 8713076 8712875 8712879 8712911 8711907"
"058416","8676177"
"05c3053","8711129 8711202 8711066 8710095"
"068805","8707988 8710943 8710787 8714172"
"06c2859","8713521 8711798 8712578 8713848 8713295"
"06c3745","8710364 8711109"
"07c5595","8713747 8714230"
"0900","8714803"
"099447","8708389"
"09c3051","8708716 8713124"
"1","8674742 8678505 8708793 4621468 8711129 8711807 8573508 8693084 8715843 8685509 8674608 8676984 8677390 8675270 8687869 8713582 8693645 8683205 8713729 8712612 8676177 8664272 8689584 8709807 8672753 8676968 8713234 8664104 8710553 8673142 8708457 8682760 8714440 8685484 8677461 8693101 8714555 8713154 8688759 8714773 8675100 8703814 8715991 8685537 8708147 8710294 8690271 8716180 8678488 8689277 8673214 8708647 8690838 8673997 8714022 8712207 8674776 8716221 8674694 8713076 8709959 8678935 8669550 4614615 8710231 8677489 8714374 8710698 8714633 8712911 8687243 8709484 8710943 8715022 8713774 8688025 8709569 8714642 8691800 8675844 8710095 8676278 8705432 8708704 8692334 8676092 8675379 8709894 8711109 8708929 8675696 8667932 8713714 8688769 8692212 8708366 8689916 8642583 8715625"
"10","8686332 8689121 8713582 8686370 8713729 8685484 8708033 8676600 8690271 8712302 8676096 8676458 8708034 8715268 8687089 8687243 8688377 8706502 8715022 8646955 8714642 8675295 8708929 8675696 8687836"
"100","8690271 8709418 8715970"
"1000","8666536 8705745"
"10000","8686370 8685537 8714728"
"100x","8678107"
"1012","8672284"
"1013","8689121"
"1030am930pm","8688930"
"109","8711907"
"10am","8646487"
"10am8pm","8690271"
"10c4754","8710852"
"10h","8709540"
"10pm","8687869 8706413 8714172"
"11","8713582 8713729 8676177 8685484 8714773 8708033 8676600 8708401 8708034 8687243 8713774 8714804 8713903 8713156"
"1100","8690278"
"1130pm","8708954"
"11386976","8713747"
"11am9pm","8712799"
"11c5781","8709894"
"11pm","8708704"
"12","8678505 8707398 8672226 8678507 8685509 8687869 8712379 8713582 8714297 8686370 8713729 8713658 8676578 8710017 8710109 8713738 8685484 8708970 8709562 8707988 8712469 8678488 8713547 8673936 8709418 8687786 8713076 8685418 8687243 8713034 8715640 8710226 8708658 8686652 8693094 8710787 8682572 8672259"
"1200000","8690829"
"1200hrs","8714803"
"1200noon","8711807"
"1230pm","8709986 8682760 8712911 8713335"
"1245pm","8709944"
"12c5051","8715991 8716221"
"12c6060","8714973 8715032"
"12c6253","8713483 8709493"
"12hour","4621468 8689354"
"12hr","8697283"
"12pm","8712379 8712879 8710698 8706502 8709493 8687795"
"12pm4pm","8697283"
"13","8713582 8713843 8692896 8713729 8693101 8689277 8667216 8646955 8687679 8708366"
"130","8674180"
